dt_cotacao,vl_abertura,vl_alta,vl_baixa,vl_fechamento,qt_volume,cd_moeda,cd_empresa
2017-01-02,15.16,15.34,15.07,15.22,63750,BRL,ITUB3
2017-01-03,15.36,15.7,15.31,15.68,107700,BRL,ITUB3
2017-01-04,15.6,15.91,15.6,15.91,135600,BRL,ITUB3
2017-01-05,15.8,15.96,15.7,15.94,208650,BRL,ITUB3
2017-01-06,15.96,16.19,15.74,15.96,86400,BRL,ITUB3
2017-01-09,15.94,16.01,15.81,15.89,70650,BRL,ITUB3
2017-01-10,15.92,16.09,15.7,15.89,227250,BRL,ITUB3
2017-01-11,15.9,15.99,15.74,15.91,126150,BRL,ITUB3
2017-01-12,16.0,16.28,16.0,16.19,659100,BRL,ITUB3
2017-01-13,16.27,16.27,15.85,15.85,309900,BRL,ITUB3
2017-01-16,15.86,15.97,15.73,15.97,83550,BRL,ITUB3
2017-01-17,15.97,16.36,15.88,16.36,176550,BRL,ITUB3
2017-01-18,16.36,16.36,16.16,16.26,63450,BRL,ITUB3
2017-01-19,16.16,16.27,15.91,16.2,155550,BRL,ITUB3
2017-01-20,16.12,16.27,16.01,16.21,180000,BRL,ITUB3
2017-01-23,16.24,16.57,16.14,16.56,260100,BRL,ITUB3
2017-01-24,16.56,16.67,16.32,16.55,159300,BRL,ITUB3
2017-01-26,16.55,16.96,16.5,16.86,717900,BRL,ITUB3
2017-01-27,16.86,17.03,16.81,16.93,256800,BRL,ITUB3
2017-01-30,16.83,16.88,16.32,16.32,231450,BRL,ITUB3
2017-01-31,16.41,16.53,16.3,16.5,225900,BRL,ITUB3
2017-02-01,16.54,16.66,16.32,16.46,175650,BRL,ITUB3
2017-02-02,16.46,16.63,16.27,16.51,150900,BRL,ITUB3
2017-02-03,16.46,16.85,16.38,16.68,241350,BRL,ITUB3
2017-02-06,16.82,16.94,16.51,16.54,210150,BRL,ITUB3
2017-02-07,16.86,17.25,16.81,17.17,278400,BRL,ITUB3
2017-02-08,17.2,17.66,16.97,17.66,127800,BRL,ITUB3
2017-02-09,17.67,17.91,17.52,17.87,290550,BRL,ITUB3
2017-02-10,17.9,18.04,17.74,18.04,272250,BRL,ITUB3
2017-02-13,17.97,18.48,17.7,17.84,717600,BRL,ITUB3
2017-02-14,17.84,17.84,17.66,17.8,297600,BRL,ITUB3
2017-02-15,17.82,18.42,17.8,18.42,1011450,BRL,ITUB3
2017-02-16,18.33,18.46,17.99,18.21,377550,BRL,ITUB3
2017-02-17,18.19,18.27,17.93,18.27,154800,BRL,ITUB3
2017-02-20,18.27,18.37,18.16,18.36,178800,BRL,ITUB3
2017-02-21,18.53,18.78,18.41,18.78,500250,BRL,ITUB3
2017-02-22,18.73,18.88,18.59,18.78,645150,BRL,ITUB3
