dt_cotacao,vl_abertura,vl_alta,vl_baixa,vl_fechamento,qt_volume,cd_moeda,cd_ativo
2019-01-02,26.01,27.93,26.01,27.67,976900,BRL,ITUB3
2019-01-03,27.1,27.96,27.1,27.92,283000,BRL,ITUB3
2019-01-04,27.92,28.05,27.38,27.45,336400,BRL,ITUB3
2019-01-07,27.66,27.96,27.61,27.8,222800,BRL,ITUB3
2019-01-08,27.8,27.95,27.45,27.87,266600,BRL,ITUB3
2019-01-09,28.04,28.19,27.87,28.13,260900,BRL,ITUB3
2019-01-10,28.13,28.36,27.96,28.13,154600,BRL,ITUB3
2019-01-11,28.13,28.2,27.74,27.81,126700,BRL,ITUB3
2019-01-14,28.0,28.13,27.87,28.13,112400,BRL,ITUB3
2019-01-15,28.13,28.13,27.43,27.75,155000,BRL,ITUB3
2019-01-16,27.76,27.8,27.37,27.69,137600,BRL,ITUB3
2019-01-17,27.79,27.81,27.37,27.62,99800,BRL,ITUB3
2019-01-18,27.7,28.1,27.66,27.96,148900,BRL,ITUB3
2019-01-21,27.96,27.99,27.16,27.78,102500,BRL,ITUB3
2019-01-22,27.77,27.87,27.45,27.69,94700,BRL,ITUB3
2019-01-23,27.69,27.95,27.5,27.93,104400,BRL,ITUB3
2019-01-24,27.87,27.99,27.67,27.87,159600,BRL,ITUB3
2019-01-28,27.27,28.26,27.22,28.06,316800,BRL,ITUB3
2019-01-29,28.26,28.32,27.89,27.96,328500,BRL,ITUB3
2019-01-30,28.13,28.19,27.48,27.92,356700,BRL,ITUB3
2019-01-31,28.08,28.57,27.7,28.45,1899300,BRL,ITUB3
2019-02-01,28.37,28.57,28.06,28.32,381800,BRL,ITUB3
2019-02-04,28.32,28.99,28.09,28.95,538500,BRL,ITUB3
2019-02-05,28.32,28.42,27.73,28.07,4911000,BRL,ITUB3
2019-02-06,28.22,28.3,27.02,27.02,738800,BRL,ITUB3
2019-02-07,27.2,27.58,27.02,27.29,913800,BRL,ITUB3
2019-02-08,27.4,28.13,27.28,28.09,714700,BRL,ITUB3
