dt_cotacao,vl_abertura,vl_alta,vl_baixa,vl_fechamento,qt_volume,cd_moeda,cd_ativo,Company
2021-01-04,27.92,27.99,26.97,27.14,416100,BRL,,ITUB3
2021-01-05,27.14,27.31,26.46,27.07,553000,BRL,,ITUB3
2021-01-06,27.1,27.88,26.98,27.68,938400,BRL,,ITUB3
2021-01-07,27.68,28.8,27.53,28.57,931900,BRL,,ITUB3
2021-01-08,28.72,29.05,28.23,28.66,737300,BRL,,ITUB3
2021-01-11,28.42,28.52,27.81,28.1,417800,BRL,,ITUB3
2021-01-12,28.18,28.35,28.07,28.21,284500,BRL,,ITUB3
2021-01-13,28.18,28.33,27.41,27.78,547000,BRL,,ITUB3
2021-01-14,27.94,28.57,27.7,28.39,413600,BRL,,ITUB3
2021-01-15,27.96,28.14,27.48,27.57,444600,BRL,,ITUB3
2021-01-18,27.65,28.01,27.4,27.49,310800,BRL,,ITUB3
2021-01-19,27.75,27.9,27.01,27.27,535100,BRL,,ITUB3
2021-01-20,27.32,27.38,26.66,26.85,303600,BRL,,ITUB3
2021-01-21,26.83,26.92,26.3,26.44,370700,BRL,,ITUB3
2021-01-22,26.2,26.28,25.74,25.79,847100,BRL,,ITUB3
2021-01-26,25.71,26.3,25.1,25.25,895400,BRL,,ITUB3
2021-01-27,25.2,25.68,24.94,25.34,582000,BRL,,ITUB3
2021-01-28,25.33,26.49,25.29,26.32,552500,BRL,,ITUB3
2021-01-29,26.17,26.41,25.51,25.58,1350900,BRL,,ITUB3
2021-02-01,26.11,26.3,25.87,26.09,813500,BRL,,ITUB3
2021-02-02,26.11,26.36,25.18,25.7,1359300,BRL,,ITUB3
2021-02-03,25.77,26.07,25.55,25.61,956800,BRL,,ITUB3
2021-02-04,25.69,25.96,25.3,25.5,1167300,BRL,,ITUB3
2021-02-05,25.6,25.7,25.2,25.38,604100,BRL,,ITUB3
2021-02-08,25.38,25.46,24.9,24.92,642900,BRL,,ITUB3
2021-02-09,24.91,25.46,24.69,25.07,881300,BRL,,ITUB3
2021-02-10,25.17,25.23,24.68,24.91,360600,BRL,,ITUB3
2021-02-11,25.07,25.21,24.78,24.92,344800,BRL,,ITUB3
2021-02-12,24.92,25.14,24.62,24.89,386100,BRL,,ITUB3
2021-02-17,24.89,25.1,24.74,24.96,574700,BRL,,ITUB3
2021-02-18,24.96,25.3,24.79,24.94,884400,BRL,,ITUB3
2021-02-19,24.94,25.14,24.62,24.74,397200,BRL,,ITUB3
2021-02-22,24.09,24.09,23.24,23.37,2034800,BRL,,ITUB3
2021-02-23,23.56,24.78,23.54,24.73,957600,BRL,,ITUB3
2021-02-24,24.78,24.86,24.12,24.25,731000,BRL,,ITUB3
2021-02-25,24.24,24.57,23.5,23.6,794200,BRL,,ITUB3
2021-02-26,23.82,23.93,23.16,23.31,546800,BRL,,ITUB3
2021-03-01,23.6,23.71,22.64,22.65,732400,BRL,,ITUB3
