country;symbol;name;full_name;isin;currency;asset_type
;BTC;Bitcoin;Bitcoin;;USD;crypto
;ETH;Ethereum;Ethereum;;USD;crypto
;BNB;Binance Coin;Binance Coin;;USD;crypto
;USDT;Tether;Tether;;USD;crypto
;ADA;Cardano;Cardano;;USD;crypto
;DOT;Polkadot;Polkadot;;USD;crypto
;XRP;XRP;XRP;;USD;crypto
;UNI;Uniswap;Uniswap;;USD;crypto
;LTC;Litecoin;Litecoin;;USD;crypto
;LINK;Chainlink;Chainlink;;USD;crypto
;THETA;THETA;THETA;;USD;crypto
;USDC;USD Coin;USD Coin;;USD;crypto
;BCH;Bitcoin Cash;Bitcoin Cash;;USD;crypto
;XLM;Stellar;Stellar;;USD;crypto
;LUNA;Terra;Terra;;USD;crypto
;WBTC;Wrapped Bitcoin;Wrapped Bitcoin;;USD;crypto
;DOGE;Dogecoin;Dogecoin;;USD;crypto
;VET;VeChain;VeChain;;USD;crypto
;CRO;Crypto.com Coin;Crypto.com Coin;;USD;crypto
;FIL;Filecoin;Filecoin;;USD;crypto
;AAVE;Aave;Aave;;USD;crypto
;TRX;TRON;TRON;;USD;crypto
;MIOTA;IOTA;IOTA;;USD;crypto
;ATOM;Cosmos;Cosmos;;USD;crypto
;SOL;Solana;Solana;;USD;crypto
;EOS;EOS;EOS;;USD;crypto
;AVAX;Avalanche;Avalanche;;USD;crypto
;XMR;Monero;Monero;;USD;crypto
;BSV;Bitcoin SV;Bitcoin SV;;USD;crypto
;KSM;Kusama;Kusama;;USD;crypto
;FTT;FTX Token;FTX Token;;USD;crypto
;XTZ;Tezos;Tezos;;USD;crypto
;XEM;NEM;NEM;;USD;crypto
;BTT;BitTorrent;BitTorrent;;USD;crypto
;ALGO;Algorand;Algorand;;USD;crypto
;NEO;Neo;Neo;;USD;crypto
;CHZ;Chiliz;Chiliz;;USD;crypto
;DAI;Dai;Dai;;USD;crypto
;HT;Huobi Token;Huobi Token;;USD;crypto
;HBAR;Hedera Hashgraph;Hedera Hashgraph;;USD;crypto
;EGLD;Elrond;Elrond;;USD;crypto
;SUSHI;SushiSwap;SushiSwap;;USD;crypto
;SNX;Synthetix;Synthetix;;USD;crypto
;DASH;Dash;Dash;;USD;crypto
;TFUEL;Theta Fuel;Theta Fuel;;USD;crypto
;LEO;UNUS SED LEO;UNUS SED LEO;;USD;crypto
;GRT;The Graph;The Graph;;USD;crypto
;DCR;Decred;Decred;;USD;crypto
;MKR;Maker;Maker;;USD;crypto
;ZIL;Zilliqa;Zilliqa;;USD;crypto
;COMP;Compound;Compound;;USD;crypto
;MATIC;Polygon;Polygon;;USD;crypto
;NEAR;NEAR Protocol;NEAR Protocol;;USD;crypto
;ENJ;Enjin Coin;Enjin Coin;;USD;crypto
;RVN;Ravencoin;Ravencoin;;USD;crypto
;BAT;Basic Attention Token;Basic Attention Token;;USD;crypto
;NPXS;Pundi X;Pundi X;;USD;crypto
;ZEC;Zcash;Zcash;;USD;crypto
;CAKE;PancakeSwap;PancakeSwap;;USD;crypto
;ONE;Harmony;Harmony;;USD;crypto
;MANA;Decentraland;Decentraland;;USD;crypto
;NEXO;Nexo;Nexo;;USD;crypto
;UMA;UMA;UMA;;USD;crypto
;ETC;Ethereum Classic;Ethereum Classic;;USD;crypto
;BNT;Bancor;Bancor;;USD;crypto
;CHSB;SwissBorg;SwissBorg;;USD;crypto
;RUNE;THORChain;THORChain;;USD;crypto
;YFI;yearn.finance;yearn.finance;;USD;crypto
;HOT;Holo;Holo;;USD;crypto
;RSR;Reserve Rights;Reserve Rights;;USD;crypto
;ICX;ICON;ICON;;USD;crypto
;CEL;Celsius;Celsius;;USD;crypto
;ZRX;0x;0x;;USD;crypto
;WAVES;Waves;Waves;;USD;crypto
;FTM;Fantom;Fantom;;USD;crypto
;REN;Ren;Ren;;USD;crypto
;SC;Siacoin;Siacoin;;USD;crypto
;REV;Revain;Revain;;USD;crypto
;VGX;Voyager Token;Voyager Token;;USD;crypto
;ONT;Ontology;Ontology;;USD;crypto
;DGB;DigiByte;DigiByte;;USD;crypto
;DENT;Dent;Dent;;USD;crypto
;OKB;OKB;OKB;;USD;crypto
;IOST;IOST;IOST;;USD;crypto
;OMG;OMG Network;OMG Network;;USD;crypto
;PAX;Paxos Standard;Paxos Standard;;USD;crypto
;CELO;Celo;Celo;;USD;crypto
;1INCH;1inch;1inch;;USD;crypto
;NANO;Nano;Nano;;USD;crypto
;NANO;Nano;Nano;;USD;crypto
;QTUM;Qtum;Qtum;;USD;crypto
;LRC;Loopring;Loopring;;USD;crypto
;OCEAN;Ocean Protocol;Ocean Protocol;;USD;crypto
;CRV;Curve DAO Token;Curve DAO Token;;USD;crypto
;KNC;Kyber Network;Kyber Network;;USD;crypto
;ZEN;Horizen;Horizen;;USD;crypto
;MVL;MVL;MVL;;USD;crypto
;BTG;Bitcoin Gold;Bitcoin Gold;;USD;crypto
;LSK;Lisk;Lisk;;USD;crypto
;XVG;Verge;Verge;;USD;crypto
;FET;Fetch.ai;Fetch.ai;;USD;crypto
;EWT;Energy Web Token;Energy Web Token;;USD;crypto
;QNT;Quant;Quant;;USD;crypto
;ANKR;Ankr;Ankr;;USD;crypto
;GLM;Golem;Golem;;USD;crypto
;BEST;Bitpanda Ecosystem Token;Bitpanda Ecosystem Token;;USD;crypto
;ETN;Electroneum;Electroneum;;USD;crypto
;CELR;Celer Network;Celer Network;;USD;crypto
;STMX;StormX;StormX;;USD;crypto
;REP;Augur;Augur;;USD;crypto
;XIN;Mixin;Mixin;;USD;crypto
;IOTX;IoTeX;IoTeX;;USD;crypto
;XVS;Venus;Venus;;USD;crypto
;FUN;FunFair;FunFair;;USD;crypto
;SNT;Status;Status;;USD;crypto
;WAXP;WAX;WAX;;USD;crypto
;TEL;Telcoin;Telcoin;;USD;crypto
;KIN;Kin;Kin;;USD;crypto
;COTI;COTI;COTI;;USD;crypto
;STX;Stacks;Stacks;;USD;crypto
;KAVA;Kava.io;Kava.io;;USD;crypto
;POLY;Polymath;Polymath;;USD;crypto
;SXP;Swipe;Swipe;;USD;crypto
;MAID;MaidSafeCoin;MaidSafeCoin;;USD;crypto
;CVC;Civic;Civic;;USD;crypto
;TUSD;TrueUSD;TrueUSD;;USD;crypto
;BAND;Band Protocol;Band Protocol;;USD;crypto
;ARDR;Ardor;Ardor;;USD;crypto
;STEEM;Steem;Steem;;USD;crypto
;OXT;Orchid;Orchid;;USD;crypto
;ANT;Aragon;Aragon;;USD;crypto
;QKC;QuarkChain;QuarkChain;;USD;crypto
;TRAC;OriginTrail;OriginTrail;;USD;crypto
;UTK;Utrust;Utrust;;USD;crypto
;SRM;Serum;Serum;;USD;crypto
;MED;MediBloc;MediBloc;;USD;crypto
;MFT;Hifi Finance;Hifi Finance;;USD;crypto
;STORJ;Storj;Storj;;USD;crypto
;OGN;Origin Protocol;Origin Protocol;;USD;crypto
;BTS;BitShares;BitShares;;USD;crypto
;NMR;Numeraire;Numeraire;;USD;crypto
;KMD;Komodo;Komodo;;USD;crypto
;BCD;Bitcoin Diamond;Bitcoin Diamond;;USD;crypto
;AMPL;Ampleforth;Ampleforth;;USD;crypto
;AGI;SingularityNET;SingularityNET;;USD;crypto
;GNO;Gnosis;Gnosis;;USD;crypto
;STRAX;Stratis;Stratis;;USD;crypto
;ARK;Ark;Ark;;USD;crypto
;TOMO;TomoChain;TomoChain;;USD;crypto
;IRIS;IRISnet;IRISnet;;USD;crypto
;PAC;PAC Global;PAC Global;;USD;crypto
;WAN;Wanchain;Wanchain;;USD;crypto
;ABBC;ABBC Coin;ABBC Coin;;USD;crypto
;DNT;district0x;district0x;;USD;crypto
;ELF;aelf;aelf;;USD;crypto
;SYS;Syscoin;Syscoin;;USD;crypto
;ZB;ZB Token;ZB Token;;USD;crypto
;CVT;CyberVein;CyberVein;;USD;crypto
;RLC;iExec RLC;iExec RLC;;USD;crypto
;LOOM;Loom Network;Loom Network;;USD;crypto
;XHV;Haven Protocol;Haven Protocol;;USD;crypto
;POWR;Power Ledger;Power Ledger;;USD;crypto
;UBT;Unibright;Unibright;;USD;crypto
;HNC;Hellenic Coin;Hellenic Coin;;USD;crypto
;PPT;Populous;Populous;;USD;crypto
;BTM;Bytom;Bytom;;USD;crypto
;ADX;AdEx Network;AdEx Network;;USD;crypto
;DIVI;Divi;Divi;;USD;crypto
;CENNZ;Centrality;Centrality;;USD;crypto
;REQ;Request;Request;;USD;crypto
;WOZX;EFFORCE;EFFORCE;;USD;crypto
;RDD;ReddCoin;ReddCoin;;USD;crypto
;AION;Aion;Aion;;USD;crypto
;GAS;Gas;Gas;;USD;crypto
;ELA;Elastos;Elastos;;USD;crypto
;LBC;LBRY Credits;LBRY Credits;;USD;crypto
;NRG;Energi;Energi;;USD;crypto
;DATA;Streamr;Streamr;;USD;crypto
;MONA;MonaCoin;MonaCoin;;USD;crypto
;WRX;WazirX;WazirX;;USD;crypto
;GUSD;Gemini Dollar;Gemini Dollar;;USD;crypto
;MTL;Metal;Metal;;USD;crypto
;RFR;Refereum;Refereum;;USD;crypto
;KEY;Selfkey;Selfkey;;USD;crypto
;SOLVE;SOLVE;SOLVE;;USD;crypto
;IGNIS;Ignis;Ignis;;USD;crypto
;ZNN;Zenon;Zenon;;USD;crypto
;NIM;Nimiq;Nimiq;;USD;crypto
;WTC;Waltonchain;Waltonchain;;USD;crypto
;NKN;NKN;NKN;;USD;crypto
;DREP;DREP;DREP;;USD;crypto
;BEAM;Beam;Beam;;USD;crypto
;BCN;Bytecoin;Bytecoin;;USD;crypto
;BLZ;Bluzelle;Bluzelle;;USD;crypto
;CTSI;Cartesi;Cartesi;;USD;crypto
;UPP;Sentinel Protocol;Sentinel Protocol;;USD;crypto
;NXS;Nexus;Nexus;;USD;crypto
;KCS;KuCoin Shares;KuCoin Shares;;USD;crypto
;FIRO;Firo;Firo;;USD;crypto
;ARPA;ARPA Chain;ARPA Chain;;USD;crypto
;AST;AirSwap;AirSwap;;USD;crypto
;EDR;Endor Protocol;Endor Protocol;;USD;crypto
;NULS;NULS;NULS;;USD;crypto
;FX;Function X;Function X;;USD;crypto
;WICC;WaykiChain;WaykiChain;;USD;crypto
;PIVX;PIVX;PIVX;;USD;crypto
;REV;RChain;RChain;;USD;crypto
;DAG;Constellation;Constellation;;USD;crypto
;SWTH;Switcheo;Switcheo;;USD;crypto
;PHB;Phoenix Global;Phoenix Global;;USD;crypto
;DRGN;Dragonchain;Dragonchain;;USD;crypto
;PNT;pNetwork;pNetwork;;USD;crypto
;FSN;Fusion;Fusion;;USD;crypto
;GRS;Groestlcoin;Groestlcoin;;USD;crypto
;QSP;Quantstamp;Quantstamp;;USD;crypto
;CND;Cindicator;Cindicator;;USD;crypto
;FIO;FIO Protocol;FIO Protocol;;USD;crypto
;CTXC;Cortex;Cortex;;USD;crypto
;RCN;Ripio Credit Network;Ripio Credit Network;;USD;crypto
;COCOS;Cocos-BCX;Cocos-BCX;;USD;crypto
;SNL;Sport and Leisure;Sport and Leisure;;USD;crypto
;MDT;Measurable Data Token;Measurable Data Token;;USD;crypto
;EMC2;Einsteinium;Einsteinium;;USD;crypto
;VSYS;v.systems;v.systems;;USD;crypto
;AE;Aeternity;Aeternity;;USD;crypto
;GAME;GameCredits;GameCredits;;USD;crypto
;AOA;Aurora;Aurora;;USD;crypto
;ZAP;Zap;Zap;;USD;crypto
;GXC;GXChain;GXChain;;USD;crypto
;VITE;VITE;VITE;;USD;crypto
;MLN;Enzyme Finance;Enzyme Finance;;USD;crypto
;LOC;LockTrip;LockTrip;;USD;crypto
;LYM;Lympo;Lympo;;USD;crypto
;EURS;STASIS EURO;STASIS EURO;;USD;crypto
;DOCK;Dock;Dock;;USD;crypto
;PNK;Kleros;Kleros;;USD;crypto
;NAS;Nebulas;Nebulas;;USD;crypto
;GO;GoChain;GoChain;;USD;crypto
;MCO;MCO;MCO;;USD;crypto
;NAV;Navcoin;Navcoin;;USD;crypto
;PRO;Propy;Propy;;USD;crypto
;SKY;Skycoin;Skycoin;;USD;crypto
;CSC;CasinoCoin;CasinoCoin;;USD;crypto
;DCN;Dentacoin;Dentacoin;;USD;crypto
;HC;HyperCash;HyperCash;;USD;crypto
;BTU;BTU Protocol;BTU Protocol;;USD;crypto
;DMT;DMarket;DMarket;;USD;crypto
;MITH;Mithril;Mithril;;USD;crypto
;NXT;Nxt;Nxt;;USD;crypto
;SOUL;Phantasma;Phantasma;;USD;crypto
;LA;LATOKEN;LATOKEN;;USD;crypto
;ZCN;0Chain;0Chain;;USD;crypto
;SBD;Steem Dollars;Steem Dollars;;USD;crypto
;WXT;Wirex Token;Wirex Token;;USD;crypto
;FXC;Flexacoin;Flexacoin;;USD;crypto
;SNTVT;Sentivate;Sentivate;;USD;crypto
;SOC;All Sports;All Sports;;USD;crypto
;NEBL;Neblio;Neblio;;USD;crypto
;APL;Apollo Currency;Apollo Currency;;USD;crypto
;CRPT;Crypterium;Crypterium;;USD;crypto
;GRIN;Grin;Grin;;USD;crypto
;PAI;Project Pai;Project Pai;;USD;crypto
;PRE;Presearch;Presearch;;USD;crypto
;VTC;Vertcoin;Vertcoin;;USD;crypto
;WABI;Wabi;Wabi;;USD;crypto
;VERI;Veritaseum;Veritaseum;;USD;crypto
;NCASH;Nucleus Vision;Nucleus Vision;;USD;crypto
;AMB;Ambrosus;Ambrosus;;USD;crypto
;PAY;TenX;TenX;;USD;crypto
;RDN;Raiden Network Token;Raiden Network Token;;USD;crypto
;TCT;TokenClub;TokenClub;;USD;crypto
;BFT;BnkToTheFuture;BnkToTheFuture;;USD;crypto
;BNK;Bankera;Bankera;;USD;crypto
;DGD;DigixDAO;DigixDAO;;USD;crypto
;DOV;Dovu;Dovu;;USD;crypto
;MHC;#MetaHash;#MetaHash;;USD;crypto
;TONE;TE-FOOD;TE-FOOD;;USD;crypto
;GTO;Gifto;Gifto;;USD;crypto
;PI;PCHAIN;PCHAIN;;USD;crypto
;COVAL;Circuits of Value;Circuits of Value;;USD;crypto
;CS;Credits;Credits;;USD;crypto
;APPC;AppCoins;AppCoins;;USD;crypto
;BRD;Bread;Bread;;USD;crypto
;QASH;QASH;QASH;;USD;crypto
;MET;Metronome;Metronome;;USD;crypto
;GVT;Genesis Vision;Genesis Vision;;USD;crypto
;OAX;OAX;OAX;;USD;crypto
;DBC;DeepBrain Chain;DeepBrain Chain;;USD;crypto
;LOKI;Loki;Loki;;USD;crypto
;HPB;High Performance Blockchain;High Performance Blockchain;;USD;crypto
;BAX;BABB;BABB;;USD;crypto
;DERO;Dero;Dero;;USD;crypto
;POA;POA;POA;;USD;crypto
;SRN;SIRIN LABS Token;SIRIN LABS Token;;USD;crypto
;DGTX;Digitex Futures;Digitex Futures;;USD;crypto
;QLC;QLC Chain;QLC Chain;;USD;crypto
;LGO;LGO Token;LGO Token;;USD;crypto
;WPR;WePower;WePower;;USD;crypto
;CDT;Blox;Blox;;USD;crypto
;PMA;PumaPay;PumaPay;;USD;crypto
;GBYTE;Obyte;Obyte;;USD;crypto
;DYN;Dynamic;Dynamic;;USD;crypto
;XYO;XYO;XYO;;USD;crypto
;BLOCK;Blocknet;Blocknet;;USD;crypto
;BCZERO;Buggyra Coin Zero;Buggyra Coin Zero;;USD;crypto
;NMC;Namecoin;Namecoin;;USD;crypto
;MDA;Moeda Loyalty Points;Moeda Loyalty Points;;USD;crypto
;MAN;Matrix AI Network;Matrix AI Network;;USD;crypto
;SALT;SALT;SALT;;USD;crypto
;QRL;Quantum Resistant Ledger;Quantum Resistant Ledger;;USD;crypto
;CARD;Cardstack;Cardstack;;USD;crypto
;CMT;CyberMiles;CyberMiles;;USD;crypto
;TRUE;TrueChain;TrueChain;;USD;crypto
;EGT;Egretia;Egretia;;USD;crypto
;ETP;Metaverse ETP;Metaverse ETP;;USD;crypto
;FCT;Factom;Factom;;USD;crypto
;MXM;Maximine Coin;Maximine Coin;;USD;crypto
;HOT;Hydro Protocol;Hydro Protocol;;USD;crypto
;VIA;Viacoin;Viacoin;;USD;crypto
;EVX;Everex;Everex;;USD;crypto
;YOYOW;YOYOW;YOYOW;;USD;crypto
;VIB;Viberate;Viberate;;USD;crypto
;IPX;Tachyon Protocol;Tachyon Protocol;;USD;crypto
;DLT;Agrello;Agrello;;USD;crypto
;MDS;MediShares;MediShares;;USD;crypto
;RUFF;Ruff;Ruff;;USD;crypto
;FLO;FLO;FLO;;USD;crypto
;XPX;ProximaX;ProximaX;;USD;crypto
;MTH;Monetha;Monetha;;USD;crypto
;ACT;Achain;Achain;;USD;crypto
;SNM;SONM;SONM;;USD;crypto
;SNGLS;SingularDTV;SingularDTV;;USD;crypto
;XDN;DigitalNote;DigitalNote;;USD;crypto
;ABT;Arcblock;Arcblock;;USD;crypto
;PZM;PRIZM;PRIZM;;USD;crypto
